date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:20	20164/20164	---M-Z	200	added ('OK')	text/html	etag:%221a0167-4ec4-56d16bd3f6af5-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html	(from )
17:17:21	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2005%20May%202019%2016:17:21%20GMT	http://limpidthemesdemo.com/robots.txt		(from )
17:17:23	121200/121200	---M--	200	added ('OK')	text/css	etag:%221a0399-1d970-56d16ea08bbe2%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/bootstrap.min.css	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:24	2936/2936	---M--	200	added ('OK')	text/css	etag:%221a039d-b78-56d16ea2b6eca%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/owl.carousel.min.css	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:25	936/936	---M--	200	added ('OK')	text/css	etag:%221a039e-3a8-56d16ea344870%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/owl.theme.default.min.css	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:26	17495/17495	---M--	200	added ('OK')	text/css	etag:%221a03a0-4457-56d16ea4eb622%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/style.css	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/style.css	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:27	31000/31000	---M--	200	added ('OK')	text/css	etag:%221a049e-7918-56d16fb45418a%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/font-awesome/css/font-awesome.min.css	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:28	19099/19099	---M-Z	200	added ('OK')	text/html	etag:%221a0162-4a9b-56d16bce9a5b1-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-student.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-student.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:29	11508/11508	---M--	200	added ('OK')	text/css	etag:%221a039b-2cf4-56d16ea1af3fe%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/chartist.min.css	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/chartist.min.css	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:30	19889/19889	---M-Z	200	added ('OK')	text/html	etag:%221a0168-4db1-56d16bd455699-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-student-list.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-student-list.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:30	17876/17876	---M-Z	200	added ('OK')	text/html	etag:%221a0164-45d4-56d16bd075b3e-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-teacher.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-teacher.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:30	16257/16257	---M-Z	200	added ('OK')	text/html	etag:%221a0169-3f81-56d16bd59675f-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-teacher-list.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-teacher-list.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:31	13082/13082	---M-Z	200	added ('OK')	text/html	etag:%221a016a-331a-56d16bd5ee5a3-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/message.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/message.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:31	68190/68190	---M--	200	added ('OK')	image/jpeg	etag:%221a0427-10a5e-56d16f39a871f%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/img/parent/parent2.jpg	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/img/parent/parent2.jpg	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:31	16121/16121	---M-Z	200	added ('OK')	text/html	etag:%221a0160-3ef9-56d16bccb7edc-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-announcement.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-announcement.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:32	16831/16831	---M-Z	200	added ('OK')	text/html	etag:%221a015f-41bf-56d16bccc22ed-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-class.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-class.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:32	17287/17287	---M-Z	200	added ('OK')	text/html	etag:%221a0161-4387-56d16bce3c5c5-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-section.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-section.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:33	16917/16917	---M-Z	200	added ('OK')	text/html	etag:%221a0163-4215-56d16bd0094d9-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-subject.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-add-subject.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:33	17496/17496	---M-Z	200	added ('OK')	text/html	etag:%221a0166-4458-56d16bd24a753-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-create-timetable.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-create-timetable.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:34	18192/18192	---M-Z	200	added ('OK')	text/html	etag:%221a0165-4710-56d16bd1e467e-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-class-timetable.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-class-timetable.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:34	13193/13193	---M-Z	200	added ('OK')	text/html	etag:%221a0177-3389-56d16be0831f1-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/teacher-attendence-report.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/teacher-attendence-report.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:34	13703/13703	---M-Z	200	added ('OK')	text/html	etag:%221a017b-3587-56d16be412c09-gzip%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/teacher-marks-report.html	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/teacher-marks-report.html	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:36	111906/111906	---M--	200	added ('OK')	image/jpeg	etag:%221a0426-1b522-56d16f39f2e8a%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/img/parent/parent1.jpg	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/img/parent/parent1.jpg	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
